comment,replies,date,user_name
You should make a Wayne Gretzky vid,[],2024-04-24T18:03:09Z,@elijaha2298
Please let Jake Paul be the next victim,[],2024-04-19T17:35:51Z,@orenlevene7365
Idgaf buster douglas was saved by the bell big time,[],2024-04-05T03:32:52Z,@Trekceffej
Who can remember Talos from jason and the argonaughts that freek on top of that tomb you can imagine tyson standing on the same tomb and he wouldn't  have looked out of place a Greek God yes have we ever seen a fighter that excites us more than what mike did I'm afraid not mike for his age was unbelievable loved him all day prime mike 85 to 88 was God in the ring,[],2024-04-04T14:47:48Z,@paulnicholls1074
Holyfield was leading with his head the whole fight n did head butt Tyson several times,[],2024-03-28T21:27:12Z,@bravocarlos1752
Not only did buster Douglas get like a 15 count when Mike went down he only got eight count and the ref waved it,[],2024-03-28T21:21:19Z,@bravocarlos1752
G.O.A.T. Ali could not beat him,[],2024-03-27T12:19:36Z,@joebrito6070
"Out of some of the most fit boxers, why was Tyson's punches so deadly? I wouldn't want to be punched by any of these boxers.",[],2024-03-21T05:29:53Z,@JerryAsbury1985
He wasn’t a power punchers. He just threw punches faster than the other guy. He said it himself.,[],2024-03-14T18:53:44Z,@wavyteti
If he was totally monk focused he was strongest mf ever lived,[],2024-03-12T22:06:24Z,@WOTA878
Remember jake Paul this is who your taking on,[],2024-03-09T18:35:32Z,@loganserbus8509
Having someone that believes 200% in you means the world for a young mind,[],2024-02-06T21:28:30Z,@Flodhesten
I remember having a 50p bet on with my grandad and I thought it was a lot of money then I have a lot of great memories watching Mike Tyson with my grandad,[],2024-01-11T03:17:58Z,@mandy4813
Bro there's no way the ref counted at 10:20 😂he destroyed him,[],2023-12-19T21:23:03Z,@Thebeast_-vx7fh
😂😂😂😂😂,"[""What's up with all of you having egos😂🤡"", 'Let me put my 5 star laughing emoji up. Fucking losers. Ahahahaha']",2023-11-24T14:32:03Z,@johndera852
I was never really into boxing most of the fights were spent dancing around with no real action then they declared a winner. It was boring. Then I came across Tyson. He added adventure and excitement and a whole new way of fighting. He is literally the best fighter of all time. Ali admitted he could not win against him back in his prime. He didn't have any power.,[],2023-10-29T02:44:11Z,@bonnies4230
Don king is a demon and a slug. May he have mercy on his soul,[],2023-10-04T04:27:34Z,@tylermoulton7294
…this heavy metal sound you here I believe is Mike Tyson’s entrance music…😂😂😂😂😂😂😂,[],2023-10-04T00:35:21Z,@AnthonyCiccone-x4m
Don king ruined Iron Mike😞😞,[],2023-10-04T00:28:08Z,@AnthonyCiccone-x4m
